ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TCK0001,Critical,Open,Database,Slow Performance,Slow Performance reported by user.,2024-12-10,,Ayesha
TCK0002,High,In Progress,Access,System Crash,System Crash reported by user.,2024-06-14,,Unassigned
TCK0003,High,Open,Database,Slow Performance,Slow Performance reported by user.,2024-07-28,,Unassigned
TCK0004,High,In Progress,Hardware,Network Down,Network Down reported by user.,2024-03-18,,Fatima
TCK0005,Low,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-12-06,2024-12-15,Unassigned
TCK0006,Low,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-05-26,2024-05-26,John
TCK0007,Low,Open,Security,Login Issue,Login Issue reported by user.,2024-03-11,,Omar
TCK0008,Critical,Closed,Access,Login Issue,Login Issue reported by user.,2024-12-29,2025-01-01,Sara
TCK0009,High,Resolved,Database,Password Reset,Password Reset reported by user.,2024-12-29,2024-12-30,Fatima
TCK0010,Low,Resolved,Access,Password Reset,Password Reset reported by user.,2024-09-19,2024-09-24,Omar
TCK0011,Low,Resolved,Database,Access Denied,Access Denied reported by user.,2024-02-29,2024-03-06,Unassigned
TCK0012,Low,In Progress,Access,Login Issue,Login Issue reported by user.,2024-03-22,,Sara
TCK0013,High,Open,Network,Login Issue,Login Issue reported by user.,2024-08-20,,Unassigned
TCK0014,Low,Open,Network,Access Denied,Access Denied reported by user.,2024-04-09,,Sara
TCK0015,High,In Progress,Network,System Crash,System Crash reported by user.,2024-07-23,,John
TCK0016,Critical,Closed,Network,Password Reset,Password Reset reported by user.,2024-04-13,2024-04-13,Sara
TCK0017,Medium,Closed,Network,Login Issue,Login Issue reported by user.,2024-01-18,2024-01-22,Sara
TCK0018,High,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-12-03,,Sara
TCK0019,Low,Open,Hardware,Login Issue,Login Issue reported by user.,2024-03-27,,Mike
TCK0020,Critical,Open,Security,Login Issue,Login Issue reported by user.,2024-02-02,,Sara
TCK0021,High,Resolved,Software,Slow Performance,Slow Performance reported by user.,2024-06-26,2024-07-06,Omar
TCK0022,Low,In Progress,Network,Login Issue,Login Issue reported by user.,2024-09-18,,Unassigned
TCK0023,Medium,Closed,Access,Slow Performance,Slow Performance reported by user.,2024-08-21,2024-08-22,Unassigned
